,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
366,7121,TA,Live animals,29,Burundi,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1.0,,Official data,1000.0,Africa,Eastern Africa,807,8.15828075606134,0.807
1128,23097,TA,Live animals,114,Kenya,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,2055.0,R,Estimated data using trading partners database,2055000.0,Africa,Eastern Africa,1239,2.6920590775515083,2546.145
1132,23098,TA,Live animals,114,Kenya,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,2899.0,R,Estimated data using trading partners database,2899000.0,Africa,Eastern Africa,1111,2.3520067497301174,3220.789
1136,23099,TA,Live animals,114,Kenya,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,2347.0,R,Estimated data using trading partners database,2347000.0,Africa,Eastern Africa,1355,2.794543192234778,3180.185
1274,25891,TA,Live animals,129,Madagascar,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,17.0,,Official data,17000.0,Africa,Eastern Africa,195,0.8266284230206097,3.315
1278,25892,TA,Live animals,129,Madagascar,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,20.0,,Official data,20000.0,Africa,Eastern Africa,222,0.9160650072740514,4.44
1388,28422,TA,Live animals,143,Morocco,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,25.0,,Official data,25000.0,Africa,Northern Africa,48597,139.63322236883022,1214.925
1788,37318,TA,Live animals,195,Senegal,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,28.0,,Official data,28000.0,Africa,Western Africa,2503,16.71229887653023,70.084
1792,37319,TA,Live animals,195,Senegal,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,183.0,,Official data,183000.0,Africa,Western Africa,154,0.9985977871436162,28.182
2116,43931,TA,Live animals,226,Uganda,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,214.0,,Official data,214000.0,Africa,Eastern Africa,17059,43.928750085815444,3650.626
2152,45267,TA,Live animals,215,United Republic of Tanzania,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,5.0,,Official data,5000.0,Africa,Eastern Africa,1043,1.996750484815038,5.215
2156,45268,TA,Live animals,215,United Republic of Tanzania,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,19.0,,Official data,19000.0,Africa,Eastern Africa,179,0.3322200127219849,3.401
