,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
46,1075,TA,Live animals,9,Argentina,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,196.0,,Official data,196000.0,Americas,South America,287063,667.8754808898663,56264.348
50,1076,TA,Live animals,9,Argentina,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,181.0,,Official data,181000.0,Americas,South America,271921,626.289722651546,49217.701
54,1077,TA,Live animals,9,Argentina,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,127.0,,Official data,127000.0,Americas,South America,270125,616.2131371435107,34305.875
166,3261,TA,Live animals,14,Barbados,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,47.0,,Official data,47000.0,Americas,Caribbean,1958,690.9328298957249,92.026
168,3262,TA,Live animals,14,Barbados,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,47.0,,Official data,47000.0,Americas,Caribbean,1694,596.0234609470933,79.618
170,3263,TA,Live animals,14,Barbados,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,43.0,,Official data,43000.0,Americas,Caribbean,1701,597.0956090129494,73.143
418,7832,TA,Live animals,33,Canada,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,6843.0,,Official data,6843000.0,Americas,Northern America,487161,1368.2480596397197,3333642.723
422,7833,TA,Live animals,33,Canada,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,5923.0,,Official data,5923000.0,Americas,Northern America,502620,1398.119801192271,2977018.26
426,7834,TA,Live animals,33,Canada,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,5511.0,,Official data,5511000.0,Americas,Northern America,511054,1408.6225270675018,2816418.594
468,10277,TA,Live animals,44,Colombia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1461.0,,Official data,1461000.0,Americas,South America,74111,155.07017495073592,108276.171
472,10278,TA,Live animals,44,Colombia,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,1246.0,,Official data,1246000.0,Americas,South America,78595,162.96314204798028,97929.37
476,10279,TA,Live animals,44,Colombia,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,372.0,,Official data,372000.0,Americas,South America,86564,178.01616583548721,32201.808
582,13388,TA,Live animals,56,Dominican Republic,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1.0,R,Estimated data using trading partners database,1000.0,Americas,Caribbean,801,7.6975976191839885,0.801
586,13389,TA,Live animals,56,Dominican Republic,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,2100.0,,Official data,2100000.0,Americas,Caribbean,1117,10.60940538509482,2345.7
590,13390,TA,Live animals,56,Dominican Republic,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,941.0,,Official data,941000.0,Americas,Caribbean,874,8.21089733007548,822.434
612,13574,TA,Live animals,58,Ecuador,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,375.0,,Official data,375000.0,Americas,South America,33572,207.94867906876254,12589.5
616,13575,TA,Live animals,58,Ecuador,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,90.0,,Official data,90000.0,Americas,South America,31782,193.99834483068452,2860.38
644,14210,TA,Live animals,60,El Salvador,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,16654.0,,Official data,16654000.0,Americas,Central America,7533,119.9295228976552,125454.582
648,14211,TA,Live animals,60,El Salvador,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,13938.0,,Official data,13938000.0,Americas,Central America,8539,135.27175857088136,119016.582
