,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
138,2413,TA,Live animals,52,Azerbaijan,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,18.0,,Official data,18000.0,Asia,Western Asia,5861,61.6702569958809,105.498
142,2415,TA,Live animals,52,Azerbaijan,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,2.0,*,Unofficial figure,2000.0,Asia,Western Asia,2407,24.778812297480567,4.814
736,16731,TA,Live animals,73,Georgia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,204.0,,Official data,204000.0,Asia,Western Asia,9558,239.40810741353582,1949.832
962,20165,TA,Live animals,101,Indonesia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,2.0,,Official data,2000.0,Asia,South-Eastern Asia,24538,9.617799813959188,49.076
966,20166,TA,Live animals,101,Indonesia,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,11.0,,Official data,11000.0,Asia,South-Eastern Asia,26298,10.186622542867086,289.278
970,20167,TA,Live animals,101,Indonesia,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,6.0,,Official data,6000.0,Asia,South-Eastern Asia,26636,10.206369464575559,159.816
1072,22198,TA,Live animals,110,Japan,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,34.0,,Official data,34000.0,Asia,Eastern Asia,374497,293.3111305863256,12732.898
1104,22780,TA,Live animals,108,Kazakhstan,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,48.0,F,FAO estimate,48000.0,Asia,Central Asia,207002,1183.6951965140913,9936.096
1108,22781,TA,Live animals,108,Kazakhstan,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,103.0,,Official data,103000.0,Asia,Central Asia,208907,1176.964185430607,21517.421
1202,24465,TA,Live animals,121,Lebanon,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1935.0,,Official data,1935000.0,Asia,Western Asia,28411,507.04239428377565,54975.285
1206,24466,TA,Live animals,121,Lebanon,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,19.0,,Official data,19000.0,Asia,Western Asia,25030,427.75510259884726,475.57
1406,29397,TA,Live animals,149,Nepal,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,0.0,,Official data,0.0,Asia,Southern Asia,1274,4.396578443234934,0.0
1512,32315,TA,Live animals,165,Pakistan,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,2469.0,,Official data,2469000.0,Asia,Southern Asia,42747,23.038459891971844,105542.343
1516,32316,TA,Live animals,165,Pakistan,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,2147.0,,Official data,2147000.0,Asia,Southern Asia,38902,20.54171222991671,83522.594
1520,32317,TA,Live animals,165,Pakistan,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,4747.0,,Official data,4747000.0,Asia,Southern Asia,40388,20.90726491126265,191721.836
1616,33483,TA,Live animals,171,Philippines,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,170.0,,Official data,170000.0,Asia,South-Eastern Asia,112857,112.74172271594018,19185.69
1618,33484,TA,Live animals,171,Philippines,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,159.0,,Official data,159000.0,Asia,South-Eastern Asia,82751,81.35466193790913,13157.409
