,Unnamed: 0,Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Value Extended,Region,Sub Region,Count,Rate,CCM
22,204,TA,Live animals,3,Albania,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,115.0,,Official data,115000.0,Europe,Southern Europe,5633,192.44370295711462,647.795
110,2077,TA,Live animals,11,Austria,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,12669.0,,Official data,12669000.0,Europe,Western Europe,148263,1717.3545907552455,1878343.947
114,2078,TA,Live animals,11,Austria,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,14574.0,,Official data,14574000.0,Europe,Western Europe,140254,1616.0795385737679,2044061.796
118,2079,TA,Live animals,11,Austria,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,16633.0,,Official data,16633000.0,Europe,Western Europe,143531,1649.9005537502658,2387351.123
190,3561,TA,Live animals,57,Belarus,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,139.0,,Official data,139000.0,Europe,Eastern Europe,40528,427.2918994721161,5633.392
210,3943,TA,Live animals,255,Belgium,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,105124.0,,Official data,105124000.0,Europe,Western Europe,208443,1857.9196786640284,21912361.932
214,3944,TA,Live animals,255,Belgium,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,130277.0,,Official data,130277000.0,Europe,Western Europe,186586,1652.9676805511015,24307864.322
292,5310,TA,Live animals,80,Bosnia and Herzegovina,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,1831.0,F,FAO estimate,1831000.0,Europe,Southern Europe,5931,166.3207143462062,10859.661
296,5311,TA,Live animals,80,Bosnia and Herzegovina,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,11803.0,,Official data,11803000.0,Europe,Southern Europe,4874,137.84088681973583,57527.822
300,5312,TA,Live animals,80,Bosnia and Herzegovina,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,910.0,F,FAO estimate,910000.0,Europe,Southern Europe,4491,127.28124927552285,4086.81
346,6552,TA,Live animals,27,Bulgaria,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,21081.0,,Official data,21081000.0,Europe,Eastern Europe,41246,571.1045679642267,869506.926
350,6553,TA,Live animals,27,Bulgaria,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,25288.0,,Official data,25288000.0,Europe,Eastern Europe,38315,533.828703334747,968909.72
354,6554,TA,Live animals,27,Bulgaria,5909,Export Quantity,1057,Chickens,2016,2016,1000 Head,24308.0,,Official data,24308000.0,Europe,Eastern Europe,32727,459.00304880015733,795527.916
512,11341,TA,Live animals,98,Croatia,5909,Export Quantity,1057,Chickens,2014,2014,1000 Head,7694.0,,Official data,7694000.0,Europe,Southern Europe,12043,282.8633389336031,92658.842
516,11342,TA,Live animals,98,Croatia,5909,Export Quantity,1057,Chickens,2015,2015,1000 Head,8171.0,,Official data,8171000.0,Europe,Southern Europe,13547,319.80521320032784,110692.537
